Zip,City,State,Region,District,Country
22654,Star Tannery,VA,East,District #07,USA
22655,Stephens City,VA,East,District #07,USA
22656,Stephenson,VA,East,District #07,USA
22657,Strasburg,VA,East,District #07,USA
22660,Toms Brook,VA,East,District #07,USA
22663,White Post,VA,East,District #07,USA
22664,Woodstock,VA,East,District #07,USA
22701,Culpeper,VA,East,District #07,USA
22709,Aroda,VA,East,District #07,USA
22711,Banco,VA,East,District #07,USA
22712,Bealeton,VA,East,District #07,USA
22713,Boston,VA,East,District #07,USA
22714,Brandy Station,VA,East,District #07,USA
22715,Brightwood,VA,East,District #07,USA
22716,Castleton,VA,East,District #07,USA
22718,Elkwood,VA,East,District #07,USA
22719,Etlan,VA,East,District #07,USA
22720,Goldvein,VA,East,District #07,USA
22722,Haywood,VA,East,District #07,USA
22723,Hood,VA,East,District #07,USA
22724,Jeffersonton,VA,East,District #07,USA
22725,Leon,VA,East,District #07,USA
22726,Lignum,VA,East,District #07,USA
22727,Madison,VA,East,District #07,USA
22728,Midland,VA,East,District #07,USA
22729,Mitchells,VA,East,District #07,USA
22730,Oakpark,VA,East,District #07,USA
22731,Pratts,VA,East,District #07,USA
22732,Radiant,VA,East,District #07,USA
22733,Rapidan,VA,East,District #07,USA
22734,Remington,VA,East,District #07,USA
22735,Reva,VA,East,District #07,USA
22736,Richardsville,VA,East,District #07,USA
22737,Rixeyville,VA,East,District #07,USA
22738,Rochelle,VA,East,District #07,USA
22739,Somerville,VA,East,District #07,USA
22740,Sperryville,VA,East,District #07,USA
22741,Stevensburg,VA,East,District #07,USA
22742,Sumerduck,VA,East,District #07,USA
22743,Syria,VA,East,District #07,USA
22746,Viewtown,VA,East,District #07,USA
22747,Washington,VA,East,District #07,USA
22748,Wolftown,VA,East,District #07,USA
22749,Woodville,VA,East,District #07,USA
22801,Harrisonburg,VA,East,District #07,USA
22802,Harrisonburg,VA,East,District #07,USA
22803,Harrisonburg,VA,East,District #07,USA
22807,Harrisonburg,VA,East,District #07,USA
22810,Basye,VA,East,District #07,USA
22811,Bergton,VA,East,District #07,USA
22812,Bridgewater,VA,East,District #07,USA
22815,Broadway,VA,East,District #07,USA
22820,Criders,VA,East,District #07,USA
22821,Dayton,VA,East,District #07,USA
22824,Edinburg,VA,East,District #07,USA
22827,Elkton,VA,East,District #07,USA
22830,Fulks Run,VA,East,District #07,USA
22831,Hinton,VA,East,District #07,USA
22832,Keezletown,VA,East,District #07,USA
22833,Lacey Spring,VA,East,District #07,USA
22834,Linville,VA,East,District #07,USA
22835,Luray,VA,East,District #07,USA
22840,Mc Gaheysville,VA,East,District #07,USA
22841,Mount Crawford,VA,East,District #07,USA
22842,Mount Jackson,VA,East,District #07,USA
22843,Mount Solon,VA,East,District #07,USA
22844,New Market,VA,East,District #07,USA
22845,Orkney Springs,VA,East,District #07,USA
22846,Penn Laird,VA,East,District #07,USA
22847,Quicksburg,VA,East,District #07,USA
22848,Pleasant Valley,VA,East,District #07,USA
22849,Shenandoah,VA,East,District #07,USA
22850,Singers Glen,VA,East,District #07,USA
22851,Stanley,VA,East,District #07,USA
22853,Timberville,VA,East,District #07,USA
22901,Charlottesville,VA,East,District #07,USA
22902,Charlottesville,VA,East,District #07,USA
22903,Charlottesville,VA,East,District #07,USA
22904,Charlottesville,VA,East,District #07,USA
22905,Charlottesville,VA,East,District #07,USA
22906,Charlottesville,VA,East,District #07,USA
67155,Wilmore,KS,Central,District #21,USA
67156,Winfield,KS,Central,District #21,USA
67159,Zenda,KS,Central,District #21,USA
67201,Wichita,KS,Central,District #21,USA
67202,Wichita,KS,Central,District #21,USA
67203,Wichita,KS,Central,District #21,USA
67204,Wichita,KS,Central,District #21,USA
67205,Wichita,KS,Central,District #21,USA
67206,Wichita,KS,Central,District #21,USA
67207,Wichita,KS,Central,District #21,USA
67208,Wichita,KS,Central,District #21,USA
67209,Wichita,KS,Central,District #21,USA
67210,Wichita,KS,Central,District #21,USA
67211,Wichita,KS,Central,District #21,USA
67212,Wichita,KS,Central,District #21,USA
67213,Wichita,KS,Central,District #21,USA
67214,Wichita,KS,Central,District #21,USA
67215,Wichita,KS,Central,District #21,USA
67216,Wichita,KS,Central,District #21,USA
67217,Wichita,KS,Central,District #21,USA
67218,Wichita,KS,Central,District #21,USA
67219,Wichita,KS,Central,District #21,USA
67220,Wichita,KS,Central,District #21,USA
67221,Mcconnell Afb,KS,Central,District #21,USA
67223,Wichita,KS,Central,District #21,USA
67226,Wichita,KS,Central,District #21,USA
67227,Wichita,KS,Central,District #21,USA
67228,Wichita,KS,Central,District #21,USA
67230,Wichita,KS,Central,District #21,USA
67232,Wichita,KS,Central,District #21,USA
67235,Wichita,KS,Central,District #21,USA
67260,Wichita,KS,Central,District #21,USA
67275,Wichita,KS,Central,District #21,USA
67276,Wichita,KS,Central,District #21,USA
67277,Wichita,KS,Central,District #21,USA
67278,Wichita,KS,Central,District #21,USA
67301,Independence,KS,Central,District #21,USA
67330,Altamont,KS,Central,District #21,USA
67332,Bartlett,KS,Central,District #21,USA
67333,Caney,KS,Central,District #21,USA
67334,Chautauqua,KS,Central,District #21,USA
67335,Cherryvale,KS,Central,District #21,USA
67336,Chetopa,KS,Central,District #21,USA
67337,Coffeyville,KS,Central,District #21,USA
67340,Dearing,KS,Central,District #21,USA
67341,Dennis,KS,Central,District #21,USA
67342,Edna,KS,Central,District #21,USA
67344,Elk City,KS,Central,District #21,USA
67345,Elk Falls,KS,Central,District #21,USA
67346,Grenola,KS,Central,District #21,USA
67347,Havana,KS,Central,District #21,USA
67349,Howard,KS,Central,District #21,USA
67351,Liberty,KS,Central,District #21,USA
67352,Longton,KS,Central,District #21,USA
67353,Moline,KS,Central,District #21,USA
67354,Mound Valley,KS,Central,District #21,USA
67355,Niotaze,KS,Central,District #21,USA
67356,Oswego,KS,Central,District #21,USA
67357,Parsons,KS,Central,District #21,USA
67360,Peru,KS,Central,District #21,USA
67361,Sedan,KS,Central,District #21,USA
67363,Sycamore,KS,Central,District #21,USA
67364,Tyro,KS,Central,District #21,USA
67401,Salina,KS,Central,District #21,USA
67402,Salina,KS,Central,District #21,USA
67410,Abilene,KS,Central,District #30,USA
67416,Assaria,KS,Central,District #21,USA
67417,Aurora,KS,Central,District #21,USA
67418,Barnard,KS,Central,District #21,USA
67420,Beloit,KS,Central,District #21,USA
67422,Bennington,KS,Central,District #21,USA
